"point","date","mesure","detectionLimit","x","y"
"point083",2011-05-27,3.09999990463257,3.09999990463257,2268.12199999997,5805.67800000031
"point095",2011-05-27,104,104,2570.29599999997,6181.23900000006
"point310",2011-05-27,90,90,2705.61200000002,6157.80399999954
"point421",2011-05-27,29,29,2464.848,6258.47599999979
"point467",2011-06-14,3.70000004768372,3.70000004768372,1736.49200000003,6327.78100000042
"point096",2011-09-20,33200,33200,2387.21500000003,6234.74299999978
"point103",2011-09-20,59,59,2451.24200000003,6027.91399999987
"point435",2011-09-20,17,17,2728.90000000002,6319.84300000034
"point467",2011-09-20,2.20000004768372,2.20000004768372,1736.49200000003,6327.78100000042
"point441",2011-09-20,35,35,1870.61499999999,6357.72800000012
"point443",2011-09-20,1,1,1667.63299999997,6305.26699999999
"point461",2011-09-20,30,30,1987.56099999999,6450.89699999988
"point464",2011-09-20,84,84,2130.77899999998,6470.40699999966
"point472",2011-09-20,71,71,2268.62099999998,6470.03000000026
"point023",2011-09-20,4.5,4.5,1343.14600000001,8810.0410000002
"point007",2011-09-20,0.300000011920929,0.300000011920929,1906.44400000002,9015.15600000042
"point355",2011-09-20,0,0.100000001490116,1868.21799999999,6214.45799999963
"point051",2011-09-21,0.400000005960464,0.400000005960464,1699.30800000002,5996.96999999974
"point055",2011-09-21,0,0.100000001490116,1586.34399999998,6027.46600000001
"point284",2011-09-21,4.30000019073486,4.30000019073486,1881.03000000003,6002.82600000035
"point002",2011-09-21,0,0.100000001490116,1602.848,5856.24399999995
"point032",2011-09-21,0,0.100000001490116,1795.38500000001,5630.98099999968
"point038",2011-09-21,0.100000001490116,0.100000001490116,1791.14799999999,5786.95999999996
"point446",2011-09-21,11,11,2053.12900000002,6141.54700000025
"point452",2011-09-21,7,7,1803.18699999998,6161.82799999975
"point457",2011-09-21,0,0.100000001490116,1681.212,5622.21100000013
"point020",2011-09-21,198,198,1672.228,7367.99100000039
"point008",2011-09-21,0,0.100000001490116,1564.97499999998,5652.84999999963
"point399",2011-09-22,55,55,2195.516,6461.12600000016
"point484",2011-09-22,43,43,2562.69300000003,6736.80300000031
"point428",2011-09-22,20,20,2366.88699999999,6448.50100000016
"point448",2011-09-22,0,0.100000001490116,1631.46999999997,6153.81599999964
"point471",2011-09-22,174,174,2373.50900000002,6454.21300000045
"point018",2011-09-22,0,0.100000001490116,2586.804,7848.30599999987
"point004",2011-09-22,1,1,2517.886,7071.12100000028
"point350",2011-09-22,0,0.100000001490116,2637.77000000002,6396.32699999958
"point366",2011-09-22,0.200000002980232,0.200000002980232,2509.08199999999,6587.01599999983
"point373",2011-09-22,0.200000002980232,0.200000002980232,1915.23100000003,6387.11000000034
"point349",2011-09-22,0,0.100000001490116,2631.728,6393.27099999972
"point362",2011-09-22,0,0.100000001490116,2303.97899999999,7162.43300000019
"point283",2011-09-23,38,38,1939.70899999997,6410.50100000016
"point429",2011-09-23,5.40000009536743,5.40000009536743,2767.71299999999,6205.23099999968
"point427",2011-09-23,36,36,2564.52299999999,6408.14499999955
"point444",2011-09-23,0.699999988079071,0.699999988079071,1628.94,6234.04700000025
"point474",2011-09-23,60,60,2489.57900000003,6449.96999999974
"point478",2011-09-23,3500,3500,2369.152,6251.85699999984
"point021",2011-09-23,0,0.100000001490116,1289.36499999999,6796.8629999999
"point368",2011-09-23,15,15,2084.375,6481.80700000003
"point348",2011-09-23,0,0.100000001490116,2781.94,6223.69799999986
"point276",2011-09-26,42,42,2640.42099999997,6390.11899999995
