"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point297",2014-02-01,0,2949.35800000001,7170.20500000007,449.553935941021,367.359704937659,NA,0,0,NA,0,0,NA,90.241218514433,61.2589413534404
"point299",2014-02-01,0,3474.29399999999,4862.36799999978,397.573301803161,313.201332712434,NA,345.119147804023,271.355020489155,NA,0,0,NA,131.425913566293,112.041164176728
"point078",2014-02-01,0,2328.26400000002,5602.9570000004,0,0,NA,0,0,NA,307.629279291876,250.207478067324,NA,269.460661781389,208.462604717709
"point102",2014-02-01,0,2498.88400000002,6039.03799999971,0,0,NA,231.097063074236,301.13631233057,NA,1218.43545928866,1353.39767936652,NA,1153.45579945623,983.389397452814
"point090",2014-02-01,0,2413.00699999998,6344.31500000041,0,0,NA,0,0,NA,345.885804807802,354.57793318834,NA,345.498137587956,354.194066743575
"point298",2014-02-01,0,3430.56699999998,5930.2089999998,1311.37255362318,751.053232198556,NA,1319.11986418689,755.137247628572,NA,0,0,NA,0,0
"point005",2014-02-01,0,2117.07500000001,7899.50399999972,0,0,NA,0,0,NA,336.669508921492,317.485910713466,NA,226.50258435603,193.907409497752
"point019",2014-02-01,0,3324.80099999998,7866.88200000022,537.40803916314,423.446269751087,NA,449.553935941021,367.359704937659,NA,0,0,NA,0,0
"point013",2014-02-01,0,3083.05699999997,5247.28600000031,345.119147804023,271.355020489155,NA,131.425913566293,112.041164176728,NA,0,0,NA,0,0
"point020",2014-02-01,0,1672.228,7367.99100000039,336.669508921492,317.485910713466,NA,226.50258435603,193.907409497752,NA,0,0,NA,0,0
"point484",2014-02-01,0,2562.69300000003,6736.80300000031,0,0,NA,272.63215395436,400.258294338385,NA,508.186819474192,447.886480719199,NA,85.00700163072,57.2028470689146
"point010",2014-02-01,0,3081.57900000003,6061.44400000013,383.197732441813,309.96882782007,NA,0,0,NA,0,0,NA,0,0
"point017",2014-02-01,0,1992.81099999999,6493.89900000021,0,0,NA,0,0,NA,37.1704705737793,37.705691519657,NA,542.178280488113,548.965027541595
"point346",2014-02-01,0,2040.39199999999,6618.74299999978,0,0,NA,0,0,NA,81.3991226009349,96.9863507185529,NA,30.8689589768398,10.6158025825728
